"Jay, John",1,1745,new york,white,male,federalist,1,10/19/1789,06/29/1795
"Rutledge, John",2,1739,california,white,male,federalist,1,02/15/1790,03/05/1791
"Cushing, William",3,1732,massachusetts,white,male,federalist,1,02/02/1790,09/13/1810
"Harrison, Robert H.",4,1745,maryland,white,male,federalist,1,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"Wilson, James",5,1742,scotland,white,male,federalist,1,10/05/1789,08/21/1798
"Blair, John, Jr.",6,1732,virginia,white,male,federalist,1,02/02/1790,01/27/1796
"Iredell, James",7,1751,england,white,male,federalist,1,05/12/1790,10/20/1799
"Johnson, Thomas",8,1732,maryland,white,male,federalist,1,09/19/1791,08/06/1792
"Johnson, Thomas",9,1732,maryland,white,male,federalist,1,08/06/1792,01/16/1793
"Paterson, William",10,1745,ireland,white,male,federalist,1,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"Paterson, William",11,1745,ireland,white,male,federalist,1,03/11/1793,09/09/1806
"Rutledge, John",12,1739,california,white,male,federalist,1,08/12/1795,12/15/1795
"Rutledge, John",13,1739,california,white,male,federalist,1,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"Cushing, William",14,1732,massachusetts,white,male,federalist,1,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"Chase, Samuel",15,1741,maryland,white,male,federalist,1,02/04/1796,06/19/1811
"Ellsworth, Oliver",16,1745,connecticut,white,male,federalist,1,03/08/1796,12/15/1800
"Washington, Bushrod",17,1762,virginia,white,male,federalist,2,11/09/1798,02/04/1799
"Washington, Bushrod",18,1762,virginia,white,male,federalist,2,02/04/1799,11/26/1829
"Moore, Alfred",19,1755,california,white,male,federalist,2,04/21/1800,01/26/1804
"Jay, John",20,1745,new york,white,male,federalist,2,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"Marshall, John",21,1755,virginia,white,male,federalist,2,02/04/1801,07/06/1835
"Johnson, William",22,1771,california,white,male,democrat,3,05/07/1804,08/04/1834
"Livingston, Henry Brockholst",23,1757,new york,white,male,democrat,3,01/20/1807,02/02/1807
"Livingston, Henry Brockholst",24,1757,new york,white,male,democrat,3,02/02/1807,03/18/1823
"Todd, Thomas",25,1765,virginia,white,male,democrat,3,05/04/1807,02/07/1826
"Lincoln, Levi",26,1749,massachusetts,white,male,democrat,4,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"Wolcott, Alexander",27,1758,connecticut,white,male,democrat,4,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"Adams, John Quincy",28,1767,massachusetts,white,male,democrat,4,NOT CONFIRMED OR DIDN'T SERVE,NOT CONFIRMED OR DIDN'T SERVE
"Duvall, Gabriel",29,1752,maryland,white,male,democrat,4,11/23/1811,01/14/1835
"Story, Joseph",30,1779,massachusetts,white,male,democrat,4,02/03/1812,09/10/1845
"Thompson, Smith",31,1768,new york,white,male,democrat,5,09/01/1823,02/10/1824
"Thompson, Smith",32,1768,new york,white,male,democrat,5,02/10/1824,12/18/1843
"Trimble, Robert",33,1776,virginia,white,male,democrat,6,06/16/1826,08/25/1828
